AR_Ref,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
PPRF054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,765.0,2461.0,1594.0,2548.33,1981.12,1818.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAL100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.79,430.38,236.82999999999998,458.13,146.0,151.75,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
VAL200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,49.5,93.17,49.36,49.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAL50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.81,318.0,221.0,350.0,61.82,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAR200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,39.5,82.0,27.0,26.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VBS200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,37.5,76.0,21.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCA100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.12,202.38,151.43,434.15,182.0,49.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCA200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,50.5,88.0,41.02,49.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCA50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.06,320.0,243.38,352.26,130.45,113.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
VCO100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.12,128.38,184.0,194.13,115.0,127.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
VCO200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,71.67,71.0,34.0,49.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCO50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.06,179.0,197.0,210.0,94.61,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VGA20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,39.5,90.0,20.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOL100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.12,335.38,191.12,286.0,10.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOL200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,48.5,80.0,32.0,28.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VS100-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,165.16,0.12,54.0,8.0,113.96000000000001,17.0,35.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
VS100-H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,150.25,20.12,54.0,15.0,115.02,15.0,33.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
VS100-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,167.89,20.87,53.0,14.0,67.0,15.0,31.66,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
VS400-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,111.0,3.16,107.0,42.5,40.04,35.5,67.17,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
VS400-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,111.0,0.0,101.0,39.0,39.0,19.67,65.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
VS400-E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,110.0,0.5,100.0,41.0,39.0,33.0,60.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
VS400-H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,112.0,0.5,110.0,39.0,37.0,25.0,61.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
VS400-O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,157.0,0.0,104.0,37.0,41.0,29.0,57.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
VS6ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3155.0,545.0,370.0,3221.5,301.0,1445.0,726.0,17.0,200.0,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
