AR_Ref,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
10000721,-0.2507945502750536,-0.33791262220707874,-0.2793287343675633,-0.1648451397996664,-0.23587685712163675,-0.24079618241379983,-0.2605444049415741,-0.26630085246396296,-0.2774130121649823,-0.31769570787507234,-0.2695336321290104,-0.2732729830558234,-0.31375761327413776,-0.3186235758103173,-0.32178099598155696,-0.39722492882085164,-0.32848166148480995,-0.36111842552893014,0.7470666905954286,0.15983170246692452,-0.011723600055248164,-0.2752422166792677,0.5482553607726339,0.6713965983460801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0873704056661039
1000589,-0.2507945502750536,-0.33791262220707874,-0.2793287343675633,-0.1648451397996664,-0.23587685712163675,-0.24079618241379983,-0.2605444049415741,-0.26630085246396296,-0.2774130121649823,-0.31769570787507234,-0.2695336321290104,-0.2732729830558234,0.6719366902160913,-0.2518687291899886,0.04111946526245196,0.15594731302467416,1.5887446033607897,0.27515410666636414,1.8093194614568275,-0.3194419410512705,0.20042993718724428,0.3350170493762957,-0.14157763889911357,0.47785574640176126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0873704056661039
1000591,-0.2507945502750536,-0.33791262220707874,-0.2793287343675633,-0.1648451397996664,-0.23587685712163675,-0.24079618241379983,-0.2605444049415741,-0.26630085246396296,-0.2774130121649823,-0.31769570787507234,-0.2695336321290104,-0.2732729830558234,0.6822125599065335,-0.2651433693332307,0.04111946526245196,0.15594731302467416,0.6360814834840626,0.7413705844208245,0.8436351243101013,0.2891895446640318,-0.2966696485942068,0.3982173774533624,-0.1412061617856662,0.43406577710709693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0873704056661039
1000634,-0.2507945502750536,-0.33791262220707874,-0.2793287343675633,-0.1648451397996664,-0.23587685712163675,-0.24079618241379983,-0.2605444049415741,-0.26630085246396296,-0.2774130121649823,-0.31769570787507234,-0.2695336321290104,-0.2732729830558234,0.7192056907921255,-0.044489811877233484,0.08852212941855213,0.31389031502960735,0.9606877234975761,1.1291312496192478,-0.3717139439038274,1.2470745901874674,0.22093358646328948,0.16363947262743994,0.9899416486615448,1.6932057979073039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0873704056661039
1000664,-0.2507945502750536,-0.33791262220707874,-0.2793287343675633,-0.1648451397996664,-0.23587685712163675,-0.24079618241379983,-0.2605444049415741,-0.26630085246396296,-0.2774130121649823,-0.31769570787507234,-0.2695336321290104,-0.2732729830558234,1.3505551245728966,0.0870494269671616,0.5274576500024247,0.6998743363435338,3.6474489443018925,0.9315540462713223,2.5669498560475517,0.4626337504378227,0.710401258347546,1.3435081740907158,0.5768590985080806,1.5017841642300849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0873704056661039
1000723,-0.2507945502750536,-0.33791262220707874,-0.2793287343675633,-0.1648451397996664,-0.23587685712163675,-0.24079618241379983,-0.2605444049415741,-0.26630085246396296,-0.2774130121649823,-0.31769570787507234,-0.2695336321290104,-0.2732729830558234,0.6497079289017266,-0.31696424579241206,0.13197672017301906,0.49497332857190873,1.2152160379684576,1.5513960418056665,2.511207101626887,-0.2839647171429951,0.3503343952276635,1.795216040408401,1.0137161839221758,1.6196386494922679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0873704056661039
1000724,-0.2507945502750536,-0.33791262220707874,-0.2793287343675633,-0.1648451397996664,-0.23587685712163675,-0.24079618241379983,-0.2605444049415741,-0.26630085246396296,-0.2774130121649823,-0.31769570787507234,-0.2695336321290104,-0.2732729830558234,0.11330753106064169,-0.318208743305841,0.0868848875507728,0.16827427106022905,-0.32848166148480995,0.9541460341801288,-0.05767025702684325,1.0484376135250335,0.25875142846132837,0.04030577717937771,0.12439997432919618,0.21890024896788213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0873704056661039
1000793,-0.2507945502750536,-0.33791262220707874,-0.2793287343675633,-0.1648451397996664,-0.23587685712163675,-0.24079618241379983,-0.2605444049415741,-0.26630085246396296,-0.2774130121649823,-0.31769570787507234,-0.2695336321290104,-0.2732729830558234,-0.31375761327413776,-0.3186235758103173,-0.32178099598155696,-0.39722492882085164,-0.32848166148480995,-0.36111842552893014,-0.3717139439038274,0.31601426785245557,0.015500689816834057,-0.02247192293692827,0.05976295658935554,0.3437827539934063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0873704056661039
100719,-0.2507945502750536,-0.33791262220707874,-0.2793287343675633,-0.1648451397996664,-0.23587685712163675,-0.24079618241379983,-0.2605444049415741,-0.26630085246396296,-0.2774130121649823,-0.31769570787507234,-0.2695336321290104,-0.2732729830558234,0.10142451535061424,-0.3182460782312439,0.06754738517542595,0.14522285953374145,0.3245851044470621,0.9640043561766989,0.19984556621228375,-0.09708252733550306,-0.2132881415382897,-0.12909824331234754,-0.12671855436121915,-0.42708829683319616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0873704056661039
100720,-0.2507945502750536,-0.33791262220707874,-0.2793287343675633,-0.1648451397996664,-0.23587685712163675,-0.24079618241379983,-0.2605444049415741,-0.26630085246396296,-0.2774130121649823,-0.31769570787507234,-0.2695336321290104,-0.2732729830558234,-0.31375761327413776,-0.3186235758103173,-0.32178099598155696,-0.39722492882085164,-0.32848166148480995,-0.11466037561467798,-0.05767025702684325,0.16227963091659556,-0.03422293786082842,-0.16515732620294388,0.23398572279616736,-0.24494905541263623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0873704056661039
