AR_Ref,AR_Design,TotalSortie,TotalEntree,ValeurSortie,NbJoursSortie,MoyenneSortie
P9005,PERLA THON A H'HUILE VEGETALE 1/4 B ETU,2100.0,2100.0,384768.05,4,525.0
MIST50,Dabur Miswak Herbal Toothpaste with Pure Al-Arak Extract 50+25 gr,2008.32,2265.5699999999997,766854.83,71,21.365106382978723
P9004,PERLA MIETTES DE MAQUEREAU SAUCE TOMATE PIMENTEE 1/4,2000.0,2000.0,363750.01,5,400.0
HNB4-60,Vatika Henna Hair Colour Natural Brown 4 - 60 gm,1958.17,2439.5,397851.89,64,20.83159574468085
N-2001,CONFITURE ABRICOT 240G DÉLICIA,1951.4099999999999,1951.41,132682.05,61,31.990327868852457
7005,PAPIA TOILET PAPER 32*3,1882.0,1914.0,284853.91,30,62.733333333333334
N-7001,SARDINE SAUCE TOMATE 1/4  JOLY ( EN ETUI),1831.0,1831.0,365888.0,58,31.56896551724138
N-5002,DOUBLE CONCENTRÉ DE TOMATE 1/6 DÉLICIA OF-METAL-,1804.58,1804.58,182537.16,38,47.48894736842105
VAL100,Vatika Naturals Almond Enriched Hair oil 100 ml,1770.05,1832.65,527932.98,68,18.06173469387755
N-1017,SARDINE SAUCE TOMATE 1/2 H LI JOLY,1708.0,1708.0,154791.52,29,58.89655172413793
N-1029,THON TRIPACK SAUCE TOMATE 85G*3 JOLY,1638.0,1638.0,307495.46,29,56.48275862068966
N5002,MOLFIX CH DIAPER MINI 50*4 TWIN MA ,1636.0,1909.0,235822.87,40,40.9
P9001,PERLA SARDINE HUILE VEGETALE BOITES NEUTRES ,1600.0,1600.0,304968.01,4,400.0
N-J0001,THON SAUCE TOMATE 1/4 JOLY,1576.75,1576.75,341329.42,31,50.86290322580645
MHCH014,MAASDAM KROON 13KG,1553.29,1553.29,138668.91,72,21.57347222222222
N-1007,THON TRIPACK HUILE VÉGÉTALE 85G*3 JOLY,1514.0,1514.0,284342.94,48,31.541666666666668
N-4001,OLIVES VERTES DÉNOYAUTÉES 4/4 MABROUKA,1502.0,1502.0,105918.0,16,93.875
VCA50,VATIKA NATURALS CACTUS ENRICHED HAIR OIL 50 ML,1462.15,1553.66,493012.68,66,15.554787234042553
N1106,MOLFIX PANTS 3D UV E.LARGE 22X4 TWIN TR-MA,1393.0,1929.0,210825.75,28,49.75
N-1030,TRIPACK THONS SAUCE TOMATE LN 1/10 *3 SANDWICH JOLY,1388.0,1388.0,171182.04,15,92.53333333333333
VCA100,VATIKA NATURALS CACTUS ENRICHED HAIR OIL 100 ML,1375.43,1424.56,395821.07,62,15.45426966292135
VAL50,Vatika Naturals Almond Enriched Hair oil  50 ml,1329.63,1350.8799999999999,445544.71,60,15.642705882352942
710,PAPIA 3PLY WR COMPACT TP6*6 MA 2023,1324.0,1563.0,100014.96,25,52.96
N8002,EVONY MEDIUM 10*6,1320.0,1600.0,233651.54,29,45.51724137931034
PPRF011,TRIANGLES OLAND *16 P,1304.0,1304.0,19072.1,16,81.5
N-4002,OLIVES VERTES DÉNOYAUTÉES 1/2 MABROUKA,1302.92,1302.92,101256.37,22,59.223636363636366
1314,FAMILIA 2 PLY PE FACIAL TISSUE 500*18 MA,1275.51,2277.0,121408.48000000001,12,106.2925
PBER008,BR BOULE D'OR  SOUS VIDE,1267.92,1279.91,97173.43,58,21.490169491525425
VOL100,Vatika Naturals Olive Enriched Hair Oil  100 ml,1223.12,1246.5,351818.74,52,16.755068493150684
N-1027,MAQUEREAU À LA TOMATE ET AUX EPICES  SVN 1/12,1222.42,1222.42,100238.44,21,58.21047619047619
10003,Sardine Marsa a la Sauce Tomate 1/2,1200.0,1200.0,115473.6,2,600.0
VCO100,Vatika Naturals Coconut Enriched Hair oil 100 ml,1153.63,1218.5,331373.89,72,11.771734693877551
PPRF029,TRIANGLE EL BOULE D'OR *96P,1120.0,1120.0,63373.2,79,14.177215189873417
N-7005,SARDINE HUILE PIMENTÉE 1/4  JOLY ( EN ETUI),1099.0,1099.0,236230.05,28,39.25
