AR_Ref,AR_Design,TotalSortie,TotalEntree,ValeurSortie,NbJoursSortie,MoyenneSortie
10006,Thon Entier Garcia a l'huile végétale 1.7kg  *3U,300.0,300.0,92812.5,3,100.0
VAR200,Vatika Naturals Argan Enriched Hair oil 200 ml,295.5,589.0,118161.11,45,4.925
N-1042,"MAQUEREAU À LA PROVENÇALE 1/4 JOLY O,F",294.15,294.15,31621.13,15,19.61
N-1034,THON TRIPACK  HUILE VÉGETALE AU CITRON 85G*3 JOLY,290.0,290.0,54810.0,18,16.11111111111111
DAHO200,Dabur Amla Hair Oil 200 ml,280.17,280.17,93744.55,31,7.183846153846154
N-1035,THON TRIPACK NATUREL 85G*3  JOLY,276.0,276.0,51880.5,32,8.625
HDB4.5-200,Vatika Henna Hair Colour dark brown 4.5  - 200 gm,268.75,360.59000000000003,68132.32,46,4.976851851851852
HBB1.1,Vatika Henna Hair Colour Blue Black 1.1   - 60 gm,266.92,353.0,55132.83,37,5.802608695652174
V002,RICE VERMICELLE 460G*24PS,266.0,460.0,45677.020000000004,14,16.625
VGA20,VATIKA NATURALS GARLIC ENRICHED HAIR OIL 200 ML,263.5,562.0,102888.48,43,4.705357142857143
VBS200,VATIKA NATURALS BLACK SEED ENRICHED HAIR OIL 200 ML,256.5,495.0,104115.29,41,4.839622641509434
7003,PAPIA TOILET PAPER 24*3,244.0,257.0,29990.82,14,17.428571428571427
ND0061,CONFITURE FIGUE 900G DÉLICIA,232.0,232.0,18374.4,2,116.0
MKT0014,PACK LAMACOM,227.0,227.0,0.0,18,12.61111111111111
N-7007,THON NATUREL 1/10 JOLY,207.0,207.0,39552.0,25,8.28
N-T0001,THON HUILE D'OLIVE 1/4 JOLY,206.0,206.0,54873.729999999996,29,7.103448275862069
DAGHO200,Dabur Amla Gold Hair Oil 200 ml,202.83,209.0,68602.97,42,3.826981132075472
N-5008,DOUBLE CONCENTRÉ DE TOMATE 4/4 MABROUKA,200.0,200.0,18810.0,2,100.0
N-4005,OLIVE NOIRES ENTIERS 5/1 MABROUKA ,200.0,200.0,29700.0,2,100.0
HMO5.5,Vatika Henna Hair Colour Mahogany 5.5   - 60 gm,199.92000000000002,356.5,40911.88,34,4.8760975609756105
HP3.16,Vatika Henna Hair Colour Plum 3.16   - 60 gm,182.92000000000002,340.75,36962.41,30,4.813684210526316
PPRF013,TRIANGLES BOULE D'Or * 64 P,170.0,170.0,6560.63,5,34.0
HBU3.6,Vatika Henna Hair Colour Burgundy 3.6    - 60 gm,165.92,358.3,45505.55,29,4.88
709,PAPIA 3PLY CLASSIC K.TOWEL 2*10 MA 2023,142.5,525.5,8935.039999999999,15,9.5
DMJHO200,Dabur Amla Jasmine Hair Oil 200 ml,140.5,181.61,46830.2,32,3.6973684210526314
N-NV0N4601,OLIVES NOIRES DENOYAUTEES A/10 SESTA *3PCS,140.0,140.0,15750.0,7,20.0
DAKD-200,DUBER AMLA KIDS NOURISHING DETANGLER 200 ML *24,131.28,143.6,42314.09,47,2.386909090909091
DAKS-200,DUBER AMLA KIDS NOURISHING SHAMPOO 200 ML *24,129.45,140.82,37134.82,43,2.4894230769230767
