AR_Ref,AR_Design,jours_avant_rupture,jours_estimes,StockFinal,rolling_mean_7
N-1019,"MAQUEREAU FILET SAUCE TOMATE 1/4 JOLY O,F",0.0,0.0,0.0,1.2857142857142858
N-1036,MORCELÉS MAQUEREAU HUILE VÉGETALE  1/10 JOLY,0.0,0.0,0.0,51.142857142857125
N-1038,TRIPACK MORCELÉS MAQUEREAU HUILE PIMENTÉE 85GR * 3  JOLY,0.0,0.0,0.0,25.714285714285715
N-1040,TRIPACK MORCELÉS MAQUEREAU HUILE VÉGETALE  85GR * 3  JOLY,0.0,0.0,0.0,5.79
N-2001,CONFITURE ABRICOT 240G DÉLICIA,0.0,0.0,0.0,38.57142857142857
N-2002,CONFITURE ABRICOT 450G DÉLICIA,0.0,0.0,0.0,42.83142857142857
N-2003,CONFITURE ABRICOT 900G DÉLICIA,365.0,365.0,927.0,0.1428571428571428
N-2004,CONFITURE FRAISE 240G DÉLICIA,0.0,0.0,0.0,60.0
N-2005,CONFITURE FRAISE 450G DÉLICIA,0.0,0.0,0.0,60.0
N-2006,CONFITURE FRAISE 900G DÉLICIA,0.0,0.0,0.0,18.52285714285714
N-5001,DOUBLE CONCENTRÉ DE TOMATE 1/12 DÉLICIA OF-METAL-,0.0,0.0,0.0,14.857142857142858
N-5002,DOUBLE CONCENTRÉ DE TOMATE 1/6 DÉLICIA OF-METAL-,0.0,0.0,0.0,0.4285714285714285
N-5003,CONCENTRÉ TOMATE 21CL  DELICIA*12PCS,0.0,0.0,0.0,10.18142857142857
N-5004,DOUBLE CONCENTRÉ DE TOMATE 37CL DÉLICIA-VERRE-,0.0,0.0,0.0,137.7357142857143
N-5005,DOUBLE CONCENTRÉ DE TOMATE 72CL DÉLICIA-VERRE-,0.0,0.0,0.0,99.42857142857144
N-5006,DOUBLE CONCENTRÉ DE TOMATE 4/4 DÉLICIA OF-METAL-,0.0,0.0,0.0,1.1428571428571428
N-7001,SARDINE SAUCE TOMATE 1/4  JOLY ( EN ETUI),0.0,0.0,0.0,0.5714285714285714
N-7002,SARDINE HUILE VÉGÉTALE 1/4  JOLY ( EN ETUI),0.0,0.0,0.0,10.142857142857142
N-7004,MAQUEREAU FILET HUILE VÉGÉTALE 1/4 JOLY SOUS ÉTUI,3.0,3.1,106.15,35.26428571428571
N-7010,TRIPACK THON SAUCE TOMATE *30PCS,0.0,0.0,0.0,0.4285714285714285
N-7012,THON NATUREL 1/4 JOLY,0.0,0.0,0.0,5.714285714285714
N5002,MOLFIX CH DIAPER MINI 50*4 TWIN MA ,7.6,7.4,273.0,35.714285714285715
N5003,MOLFIX CH DIAPER MIDI 40*4 TWIN MA ,17.2,17.3,245.0,14.285714285714286
N5004,Molfix 3D UV Maxi 36*4 Twin,193.2,193.8,8279.0,42.85714285714285
N5005,Molfix  3D UV Junior 28*4 Twin,171.5,172.6,7349.0,42.85714285714285
N5006,Molfix 3D UV E.LARGE 22*4 Twin,98.9,101.7,7066.0,71.42857142857143
N8003,EVONY ADULT DIAPER LARGE 10*6 MA,24.5,25.1,350.0,14.285714285714286
PBER008,BR BOULE D'OR  SOUS VIDE,2.1,2.2,11.99,5.714285714285714
PFRF001,SLICE IWS BOULE D'OR CHEDDAR 12P,0.0,0.0,0.0,2.857142857142857
PFRF002,SLICE IWS BOULE D'OR EMMENTAL 12P,0.0,0.0,0.0,6.428571428571429
PFRF003,SLICE IWS BO MOZZARELLA 12P,0.0,0.0,0.0,6.142857142857143
PHCH011,EDAM PORTION KROON 140G,0.0,0.0,0.0,0.1314285714285714
PHCH026,EDAM PORTION BABY KROON 100G ,365.0,364.8,15188.0,1.2857142857142858
PPRF004,SLICE IWS EL MEJOR CHEF 24P,0.0,0.0,0.0,36.0
PPRF006,SLICE IWS OLAND 24P,0.0,0.0,0.0,52.142857142857146
PPRF007,TRIANGLE EL MEJOR CHEF 96P 16,0.0,0.0,0.0,240.0
PPRF015,TRIANGLE BOULE D'OR *96 P,0.0,0.0,0.0,1.8571428571428568
PPRF028,TRIANGLE EL MEJOR CHEF 96P 24,0.0,0.0,0.0,5.285714285714286
PPRF029,TRIANGLE EL BOULE D'OR *96P,0.0,0.0,0.0,7.857142857142857
PPRF038,SLICE IWS OLAND 24P (24U),0.0,0.0,0.0,3.4285714285714284
PPRF039,SLICES IWS EL MEJOR CHEF 24 P (24U),353.5,351.0,101.0,0.2857142857142857
PPRF045,Triangles Original VIVA  96P      16,365.0,365.0,2918.01,0.1428571428571591
PPRF046,Triangles Original VIVA  96P      24,293.5,269.4,1621.18,5.522857142857142
PPRF047,SLICE IWS VIVA CHEDDAR 24P (12U),40.0,40.4,2917.0,72.85714285714286
PPRF049,VIVA ORIGINAL 16P GRATUITE,3.9,3.9,95.67,24.714285714285715
PPRF050,SLICE IWS VIVA SP BURGER 24P (12U),39.8,40.1,2047.46,51.42857142857143
PPRF054,TRIANGLE VIVA 3 FROMAGES 88P,123.4,122.3,1409.83,11.428571428571429
VAL100,Vatika Naturals Almond Enriched Hair oil 100 ml,109.6,110.5,62.6,0.5714285714285714
VAL200,Vatika Naturals Almond Enriched Hair oil 200 ML,365.0,365.0,177.46,0.1428571428571428
VAL50,Vatika Naturals Almond Enriched Hair oil  50 ml,148.8,153.8,21.25,0.1428571428571428
VAR200,Vatika Naturals Argan Enriched Hair oil 200 ml,365.0,365.0,293.5,0.1428571428571428
VBS200,VATIKA NATURALS BLACK SEED ENRICHED HAIR OIL 200 ML,365.0,365.0,238.5,0.4285714285714285
VCA100,VATIKA NATURALS CACTUS ENRICHED HAIR OIL 100 ML,172.0,168.9,49.13,0.2857142857142857
VCA200,VATIKA NATURALS CACTUS ENRICHED HAIR OIL 200 ML,365.0,365.0,378.54,0.2857142857142857
VCA50,VATIKA NATURALS CACTUS ENRICHED HAIR OIL 50 ML,213.5,210.6,91.51,0.4285714285714285
VCO100,Vatika Naturals Coconut Enriched Hair oil 100 ml,227.0,230.3,64.87,0.2857142857142857
VCO200,VATIKA NATURALS COCONUT ENRICHED HAIR OIL  200 ML,297.1,298.6,127.33,0.4285714285714285
VCO50,Vatika Naturals Coconut Enriched Hair oil  50 ml,92.6,91.9,119.02,1.2857142857142858
VGA20,VATIKA NATURALS GARLIC ENRICHED HAIR OIL 200 ML,365.0,365.0,298.5,0.4285714285714285
VOL100,Vatika Naturals Olive Enriched Hair Oil  100 ml,163.7,192.5,23.38,0.1428571428571428
